"key","message","comment","context"
"Address","Adresse",,
"Address Book","Livre d'adresse",,
"Addresses","Adresses",,
"City","Ville",,
"Code","Code",,
"Configuration",,,
"Contact",,,
"Contact informations","Informations du contact",,
"Contacts",,,
"Countries","Pays",,
"Country","Pays",,
"Date of Birth","Date de naissance",,
"Email",,,
"First name","Prénom",,
"Full name","Nom complet",,
"Image",,,
"Last name","Nom de famille",,
"Main informations","Informations principales",,
"Name","Nom",,
"Overview",,,
"Phone","Téléphone",,
"Street","Rue",,
"Title","Titre",,
"Titles","Titres",,
"Zip","Code postal",,
